c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
stomach,aches,stomachaches,1,13.1,3.625109648,2.840263764,0.3587356507778168,0.4709337055683136,0.5039031505584717,1
tooth,aches,toothaches,1,13.1,3.625109648,2.840263764,0.3099888563156128,0.4543522298336029,0.5139862895011902,1
back,aches,backaches,1,9.21,-0.17232692300000002,-0.378298429,0.11238665133714676,0.5430510640144348,0.4906671643257141,1
play,acting,playacting,1,9.16,-0.33994601,-0.37997590600000003,0.2451898753643036,0.21005330979824066,0.30246880650520325,1
here,after,hereafter,1,12.8,1.8746488000000001,2.165117632,0.0779816210269928,0.03659788519144058,0.07535123080015182,1
mid,afternoon,midafternoon,1,11.6,0.13692797,0.669906871,0.23494920134544373,0.6223715543746948,0.553154706954956,1
news,agent,newsagent,1,12.1,0.253184389,0.229030287,0.08594651520252228,0.1211981251835823,0.14199198782444,1
news,agents,newsagents,1,12.1,0.253184389,0.229030287,0.0798201933503151,0.1235773116350174,0.13850566744804382,1
mid,air,midair,1,11.6,0.13692797,0.669906871,0.15595276653766632,0.29400041699409485,0.29376673698425293,1
catch,all,catchall,1,13.1,3.625109648,2.840263764,0.03725586086511612,0.09483678638935089,0.07459180057048798,1
carry,all,carryall,1,9.16,-0.33994601,-0.37997590600000003,0.18237526714801788,0.08778905123472214,0.18662430346012115,1
cover,all,coverall,1,12.8,0.440467071,0.47982600299999995,0.17210689187049866,0.06557814031839371,0.16648906469345093,1
sing,along,singalong,1,11.4,-0.09559546199999999,-0.063517192,0.542202353477478,0.11377543210983276,0.4960485100746155,1
tag,along,tagalong,1,11.4,-0.09559546199999999,-0.063517192,0.14410430192947388,0.1975656896829605,0.21720820665359497,1
