c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
rib,grass,ribgrass,1,3.56,-0.378402677,-0.40147221,0
winter,green,wintergreen,1,11,-0.223106887,-0.281666974,0
green,grocer,greengrocer,1,13.2,2.59659023,3.387854071,0
bed,ground,bedground,1,9.83,-0.341229723,-0.365342154,0
back,grounder,backgrounder,1,6.35,-0.376622783,-0.399688925,0
back,grounders,backgrounders,1,6.35,-0.376622783,-0.399688925,0
sand,grouse,sandgrouse,1,9.83,-0.341229723,-0.365342154,0
man,groves,mangroves,1,13.2,2.59659023,3.387854071,0
rear,guard,rearguard,1,11,-0.223106887,-0.281666974,0
van,guard,vanguard,1,13.2,2.59659023,3.387854071,0
black,guards,blackguards,1,6.35,-0.376622783,-0.399688925,0
wave,guides,waveguides,1,11,-0.255203258,-0.271020622,0
blood,guilt,bloodguilt,1,9.83,-0.341229723,-0.365342154,0
blow,guns,blowguns,1,3.71,-0.378098965,-0.400592878,0
pop,guns,popguns,1,7.8,-0.377911794,-0.399907527,0
pinch,gut,pinchgut,1,5.24,-0.378298497,-0.401468203,0
rot,gut,rotgut,1,7.71,-0.375540367,-0.400061087,0
cat,gut,catgut,1,7.71,-0.375540367,-0.400061087,0
cross,hairs,crosshairs,1,12,0.657359922,0.614352135,0
yellow,hammer,yellowhammer,1,12,1.513752247,0.756226806,0
trip,hammer,triphammer,1,10.4,-0.268312321,-0.275385567,0
yellow,hammers,yellowhammers,1,12,1.513752247,0.756226806,0
long,hand,longhand,1,11.7,0.641415035,0.585360488,0
cow,hand,cowhand,1,12,1.513752247,0.756226806,0
short,hand,shorthand,1,14.2,8.036027096,7.83944487,0
deck,hand,deckhand,1,7.68,-0.375969449,-0.401314414,0
pan,handler,panhandler,1,9.07,-0.368878123,-0.395849129,0
deck,hands,deckhands,1,7.68,-0.375969449,-0.401314414,0
cow,hands,cowhands,1,12,1.513752247,0.756226806,0
short,hands,shorthands,1,14.2,8.036027096,7.83944487,0
strap,hanger,straphanger,1,10.4,-0.268312321,-0.275385567,0
cliff,hangers,cliffhangers,1,3.64,-0.378330281,-0.401434651,0
rest,harrow,restharrow,1,14.2,8.036027096,7.83944487,0
